count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
6425,W,2012,2012-06-15,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,135,68,363,31,19,8,0,2,1,0,0,11,492
6425,W,2012,2012-06-15,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,216,64,324,41,23,5,0,1,1,0,0,7,459
6425,E,2012,2012-06-15,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,147,61,328,59,77,23,7,6,0,0,0,36,561
6425,E,2012,2012-06-15,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,185,58,369,63,109,24,6,4,0,0,0,34,633
6425,E,2012,2012-06-15,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,98,37,299,47,94,51,3,3,0,0,0,57,534
6425,E,2012,2012-06-15,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,57,43,301,31,106,41,2,3,0,0,0,46,527
6425,E,2012,2012-06-15,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,49,46,287,26,90,33,3,5,0,0,0,41,490
6425,E,2012,2012-06-15,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,61,28,293,28,96,42,1,2,0,0,0,45,490
6425,E,2012,2012-06-15,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,83,34,316,25,108,29,2,3,0,0,0,34,517
6425,E,2012,2012-06-15,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,94,38,309,24,111,34,0,4,0,0,0,38,520
6425,E,2012,2012-06-15,15,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,149,51,401,41,86,19,2,1,0,0,0,22,601
6425,E,2012,2012-06-15,16,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,154,56,397,39,67,13,1,2,0,0,0,16,575
6425,E,2012,2012-06-15,17,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,163,61,435,38,41,7,1,0,0,0,0,8,583
6425,E,2012,2012-06-15,18,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,208,52,456,37,40,4,0,0,0,0,0,4,589
6425,W,2012,2012-06-15,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,69,41,257,45,78,33,7,8,0,0,0,48,469
6425,W,2012,2012-06-15,8,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,209,23,281,53,104,54,3,5,0,0,0,62,523
6425,W,2012,2012-06-15,9,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,128,28,301,47,108,29,4,4,0,0,0,37,521
6425,W,2012,2012-06-15,10,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,108,15,239,29,67,33,2,1,0,0,0,36,386
6425,W,2012,2012-06-15,11,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,94,19,218,24,69,30,1,2,0,0,0,33,363
6425,W,2012,2012-06-15,12,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,84,43,251,42,78,28,2,1,0,0,0,31,445
6425,W,2012,2012-06-15,13,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,67,37,298,28,69,23,3,4,0,0,1,31,463
6425,W,2012,2012-06-15,14,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51823022,-0.11335663,0.50,0.31,81,44,307,31,74,27,1,2,0,1,0,31,487
6425,E,2020,2020-07-17,7,6,London,145,Camden,A40,Major,"Procter St","Gray's Inn Rd",531000,181610,51.51822900,-0.11335671,0.50,0.31,62,20,149,19,60,11,2,0,0,0,3,16,264
